"","Cattle_ID","A. variegatum","R. annulatus","R. decoloratus","R. geigyi","H. leachi","R. lunulatus","R. muhsamae","R. senegalensis","Rhipicephalus sp.","R. sanguineus","R. guilhoni","Amblyomma sp."
"1",1,1,46,7,20,1,0,0,0,0,0,0,0
"2",2,0,35,6,2,2,0,0,2,3,0,1,0
"3",3,2,40,1,3,0,0,1,0,0,1,0,0
"4",4,2,25,0,14,0,0,0,0,0,0,0,0
"5",5,4,14,1,0,0,0,0,0,0,0,0,0
"6",6,0,48,11,26,0,2,0,0,0,0,1,0
"7",7,12,8,6,0,0,2,1,0,0,0,1,0
"8",8,0,40,9,8,0,0,0,0,0,0,0,1
"9",9,3,34,24,0,0,0,1,0,0,1,0,0
"10",10,1,8,1,4,0,0,0,0,0,0,0,0
"11",11,0,12,3,2,0,0,0,0,0,0,0,0
"12",12,0,6,2,13,0,0,0,0,0,0,1,0
"13",13,0,14,3,8,0,0,0,0,0,0,0,0
"14",14,0,8,11,0,0,0,0,0,0,0,0,0
"15",15,0,20,12,2,0,0,0,0,0,0,0,0
"16",16,0,7,20,4,0,0,0,0,0,0,0,0
"17",17,0,33,18,0,0,0,0,0,0,0,0,0
"18",18,0,5,11,5,0,0,0,0,0,0,0,0
"19",19,0,13,17,1,0,0,0,0,0,0,0,0
"20",20,1,9,18,8,0,0,0,0,0,0,0,0
"21",21,0,19,11,6,0,0,0,0,0,0,0,0
"22",22,1,12,13,13,0,0,0,0,0,0,0,0
"23",23,0,2,9,16,0,0,0,0,0,0,0,0
"24",24,0,3,7,13,0,0,0,0,0,0,0,0
"25",25,0,51,15,2,0,0,0,0,0,0,0,0
"26",26,0,2,0,2,0,0,0,0,0,0,0,0
"27",27,0,16,8,7,0,0,0,0,0,0,0,0
"28",28,0,25,0,12,0,0,0,0,0,0,0,0
"29",30,0,11,12,7,0,0,0,0,0,0,0,0
"30",31,0,0,12,12,0,0,0,0,0,0,0,0
"31",32,0,2,5,3,0,0,0,0,0,0,0,0
"32",34,0,0,4,4,0,0,0,0,0,0,0,0
"33",35,0,2,4,2,0,0,0,0,0,0,0,0
"34",36,0,5,4,3,0,0,0,0,0,0,0,0
"35",38,0,2,5,8,0,0,0,0,0,0,0,0
"36",40,0,0,6,5,0,0,0,0,0,0,0,0
"37",41,0,0,5,2,0,0,0,0,0,0,0,0
"38",42,0,0,2,0,0,0,0,0,0,0,0,0
"39",43,0,0,5,2,0,0,0,0,0,0,0,0
"40",44,0,0,4,2,0,0,0,0,0,0,0,0
"41",46,0,6,5,6,0,0,0,0,0,0,0,0
"42",47,0,1,1,2,0,0,0,0,0,0,0,0
"43",49,0,0,0,3,0,0,0,0,0,0,0,0
"44",50,0,4,5,2,0,0,0,0,0,0,0,0
"45",51,0,4,6,7,0,0,0,0,0,7,3,0
"46",52,0,16,17,11,0,0,0,0,0,1,1,0
"47",53,6,0,6,6,0,0,0,0,0,1,0,0
"48",54,3,20,7,4,0,0,1,0,0,3,0,0
"49",55,1,5,7,0,0,2,2,2,0,1,1,0
"50",56,1,19,9,5,0,6,0,0,0,0,0,0
"51",57,0,26,5,1,0,0,0,0,0,0,0,0
"52",58,0,22,2,7,0,0,2,2,0,0,0,0
"53",59,1,17,4,2,0,0,1,0,0,0,0,0
"54",60,2,10,12,3,0,0,0,0,0,0,0,0
"55",61,1,0,9,3,0,2,0,0,0,0,4,0
"56",62,1,6,15,0,0,0,0,0,0,0,2,0
"57",63,0,6,11,11,0,3,0,0,0,0,0,0
"58",64,5,6,5,14,0,2,0,0,0,0,2,0
"59",65,4,5,9,6,0,1,0,0,0,0,3,0
"60",66,1,1,0,10,0,5,0,0,0,0,1,0
"61",67,2,2,9,4,0,1,0,0,0,0,0,0
"62",68,0,11,7,11,0,0,0,0,0,0,0,0
"63",69,0,6,16,7,0,0,0,0,0,0,0,0
"64",70,0,2,15,9,0,0,0,0,0,0,0,0
"65",71,0,9,27,10,0,0,0,0,0,0,0,0
"66",72,0,15,14,6,0,0,0,0,0,0,0,0
"67",73,0,6,1,1,0,0,0,0,0,0,0,0
"68",74,0,0,3,0,0,0,0,0,0,0,0,0
"69",86,0,0,1,0,0,0,0,0,0,0,0,0
"70",87,0,0,2,0,0,0,0,0,0,0,0,0
"71",88,0,1,0,2,0,0,0,0,0,0,0,0
"72",89,0,2,4,1,0,0,0,0,0,0,0,0
"73",93,0,2,4,3,0,0,1,0,0,0,0,0
"74",94,0,4,4,0,0,0,0,0,0,0,0,0
"75",95,1,7,13,6,0,0,0,0,0,0,0,0
